#{"t_start": 1784439046.130854, "env_id": "Reacher-v5"}
r,l,t
-34.473402,50,42.115985
-34.134652,50,42.145941
-33.305452,50,42.176001
-31.409135,50,42.20659
-40.778672,50,42.237966
-30.704861,50,42.268095
-34.639133,50,42.298586
-29.441076,50,42.329845
-35.551843,50,42.360005
-30.923256,50,42.390501
-26.806251,50,42.421653
-34.392904,50,42.451619
-38.872814,50,42.481703
-33.336689,50,42.512307
-38.156417,50,42.543475
-37.509115,50,42.573606
-30.654924,50,42.604366
-34.08329,50,42.635617
-37.752114,50,42.665737
-35.846336,50,42.696231
-34.901744,50,42.727338
-37.606542,50,42.757417
-38.16745,50,42.787694
-33.432529,50,42.81775
-30.493827,50,42.848877
-30.738023,50,42.87906
-33.380734,50,42.909497
-32.796066,50,42.940636
-29.378273,50,45.229305
-30.076916,50,45.26033
-27.934127,50,45.291223
-34.674669,50,45.321183
-34.838276,50,45.351167
-31.19648,50,45.382153
-26.466974,50,45.412666
-28.3752,50,45.442895
-33.611864,50,45.473949
-30.905797,50,45.670211
-31.311496,50,45.700519
-30.815663,50,45.730731
-27.732881,50,45.762587
-30.690307,50,45.793345
-31.663199,50,45.823398
-34.806549,50,45.854125
-34.201958,50,45.885384
-28.21508,50,45.915678
-35.180693,50,45.946203
-33.032412,50,45.977399
-29.954549,50,46.007476
-31.307136,50,46.037961
-27.72269,50,46.069149
-30.230535,50,46.09933
-32.028907,50,46.129925
-32.026492,50,46.159955
-32.738043,50,46.191807
-31.122823,50,46.222142
-28.797253,50,46.252744
-34.309124,50,46.283634
-30.768586,50,46.313943
-36.032795,50,46.344266
-27.785197,50,46.37589
-36.172059,50,46.406093
-29.430051,50,46.436482
-31.190493,50,46.467822
-30.733647,50,46.498015
-27.959081,50,46.528596
-32.910444,50,46.558964
-28.094213,50,46.590425
-25.225219,50,46.621065
-34.764391,50,48.877577
-29.103381,50,48.908805
-25.803339,50,48.938564
-24.299608,50,48.968647
-28.1488,50,48.999747
-25.183226,50,49.029754
-30.768085,50,49.060013
-35.724909,50,49.090517
-25.181265,50,49.121813
-17.595619,50,49.152035
-23.941202,50,49.182776
-21.840311,50,49.214302
-23.344456,50,49.244923
-28.686646,50,49.27562
-31.652913,50,49.30715
-30.646955,50,49.337305
-25.637612,50,49.367822
-35.248749,50,49.39811
-31.217855,50,49.592049
-31.362865,50,49.62398
-33.532638,50,49.654924
-34.928808,50,49.685389
-31.851805,50,49.716814
-26.289696,50,49.746999
-26.25227,50,49.777579
-24.389831,50,49.808919
-33.05239,50,49.839575
-26.989698,50,49.870558
-30.773237,50,49.901431
-25.651065,50,49.933209
-28.013183,50,49.963949
-20.572808,50,49.994994
-21.349697,50,50.027121
-29.1422,50,50.057618
-29.111609,50,50.08825
-28.18574,50,50.119685
-30.072851,50,50.150071
-28.771773,50,50.180393
-28.303605,50,50.211963
