#{"t_start": 1784446208.7240992, "env_id": "NoisyGoalReacher-v0"}
r,l,t
-9.911024,50,33.85464
-12.813979,50,33.885705
-8.799647,50,34.442758
-9.734007,50,34.473626
-15.446372,50,34.504348
-10.55544,50,34.535247
-10.524467,50,34.567564
-14.159645,50,34.59888
-10.349474,50,34.629872
-11.386189,50,34.661853
-15.002909,50,34.693209
-11.57673,50,34.724146
-8.813778,50,35.283876
-10.31776,50,35.314474
-9.394022,50,35.345224
-8.730533,50,35.378408
-12.056088,50,35.410052
-11.767282,50,35.441236
-12.778523,50,35.473285
-8.31653,50,35.504126
-12.500158,50,35.535513
-12.654231,50,35.567701
-9.627809,50,36.1261
-10.510505,50,36.158314
-9.653506,50,36.189263
-13.945802,50,36.220365
-10.147904,50,36.251219
-8.55988,50,36.283115
-16.283415,50,36.314472
-12.44036,50,36.345315
-10.864004,50,36.3775
-11.36912,50,36.408675
-9.733322,50,36.440036
-8.70318,50,36.994988
-9.803708,50,37.026051
-16.880923,50,37.056747
-15.372732,50,37.088504
-7.390046,50,37.11931
-11.940967,50,37.150317
-14.335357,50,37.182211
-7.621847,50,37.213312
-12.649152,50,37.24507
-11.369167,50,37.276937
-11.403653,50,37.828652
-8.025756,50,37.859908
-9.709217,50,37.891612
-14.67289,50,37.922567
-10.451553,50,37.95403
-11.334471,50,37.986105
-13.494028,50,38.017139
-11.25485,50,38.048505
-10.558333,50,38.080592
-15.921418,50,38.111394
-9.310297,50,38.66765
-12.848979,50,38.699825
-11.184277,50,38.730906
-11.138317,50,38.762374
-8.179176,50,38.794729
-11.153281,50,38.825918
-9.897151,50,38.857268
-8.467322,50,38.890238
-14.0268,50,38.921846
-12.668305,50,38.953948
-11.446372,50,39.524076
-7.461857,50,39.555032
-11.056466,50,39.585911
-11.96741,50,39.618189
-9.823521,50,39.649932
-9.274807,50,39.681183
-11.508353,50,39.713203
-13.063241,50,39.744556
-10.757501,50,39.775702
-8.366864,50,39.808031
-9.717973,50,39.838838
-11.167268,50,40.422988
-8.324333,50,40.454326
-10.317783,50,40.485121
-7.508393,50,40.51701
-14.067824,50,40.548164
-9.930211,50,40.57881
-10.576093,50,40.61058
-9.11114,50,40.641371
-8.413474,50,40.672596
-7.344019,50,40.703875
-12.137542,50,41.277477
-10.733227,50,41.30922
-15.732576,50,41.341507
-8.350619,50,41.372464
